season,week,fbg_id,player_name,position,team,stable_player_id,actual_score,actual_record,actual_score_imputed,top_projected,match_method,override_reason,error_type,severity,resolution_notes
2024,1,WillJa09,Jameson Williams,WR,DET,00-0037240,24.4,1,False,False,weekly_stats_name_position_team,,crosswalk_fields_disagree,Info,crosswalk_fields_disagree
2024,1,DougDe00,DeMario Douglas,WR,NE,00-0038621,3.2,1,False,False,weekly_stats_name_position_team,,crosswalk_fields_disagree,Info,crosswalk_fields_disagree
2024,1,DoubRo00,Romeo Doubs,WR,NE,00-0037816,9.0,1,False,False,master_name_position,,crosswalk_fields_disagree,Info,crosswalk_fields_disagree
2024,1,SlayDa00,Darius Slayton,WR,NYG,00-0035535,5.6,1,False,False,weekly_stats_name_position_team,,crosswalk_fields_disagree,Info,crosswalk_fields_disagree
2024,1,McMiJa00,Jalen McMillan,WR,TB,00-0039855,10.2,1,False,False,weekly_stats_name_position_team,,crosswalk_fields_disagree,Info,crosswalk_fields_disagree
2024,1,JohnQu01,Quentin Johnston,WR,LAC,00-0038544,6.8,1,False,False,weekly_stats_name_position_team,,crosswalk_fields_disagree,Info,crosswalk_fields_disagree
2024,1,BrowDy00,Dyami Brown,WR,WAS,00-0036626,0.0,0,True,False,weekly_roster_name_position_team,,no_actual_weekly_record;actual_score_created_from_missing_record,Info,
2024,1,McClRa00,Ray-Ray McCloud III,WR,CHI,00-0034407,9.2,1,False,False,master_name_position,,crosswalk_fields_disagree,Info,crosswalk_fields_disagree
2024,1,PalmTr00,Trey Palmer,WR,NO,00-0039052,2.9,1,False,False,master_name_position,,crosswalk_fields_disagree,Info,crosswalk_fields_disagree
2024,1,CorlMa00,Malachi Corley,WR,CLE,00-0039920,0.0,0,True,False,master_name_position,,no_actual_weekly_record;actual_score_created_from_missing_record,Info,
2024,1,AtweTu00,Tutu Atwell,WR,LA,00-0036849,0.0,0,True,False,weekly_roster_name_position_team,,crosswalk_fields_disagree;no_actual_weekly_record;actual_score_created_from_missing_record,Info,crosswalk_fields_disagree
2024,1,JoneVe00,Velus Jones Jr,RB,SEA,00-0037745,2.9,1,False,False,manual_override,Top-player gate override because the historical FBG row labels Velus Jones Jr as RB with stale teams while the weekly records identify GSIS 00-0037745 and the master position is WR,crosswalk_fields_disagree;master_position_conflict,Info,crosswalk_fields_disagree;manual_override_applied;master_position_conflict
2024,1,HollMa00,Mack Hollins,WR,NE,00-0033555,10.5,1,False,False,master_name_position,,crosswalk_fields_disagree,Info,crosswalk_fields_disagree
2024,1,ThorTy00,Tyquan Thornton,WR,KC,00-0038104,4.7,1,False,False,master_name_position,,crosswalk_fields_disagree,Info,crosswalk_fields_disagree
2024,1,BoboJa00,Jake Bobo,WR,SEA,00-0038752,0.0,0,True,False,weekly_roster_name_position_team,,no_actual_weekly_record;actual_score_created_from_missing_record,Info,
2024,1,MetcJo00,John Metchie III,WR,CAR,00-0037614,0.0,0,True,False,master_name_position,,no_actual_weekly_record;actual_score_created_from_missing_record,Info,
2024,1,DaviDe01,Derius Davis,WR,LAC,00-0038573,0.9,1,False,False,weekly_stats_name_position_team,,crosswalk_fields_disagree,Info,crosswalk_fields_disagree
2024,1,HodgKh00,KhaDarel Hodge,WR,SF,00-0034854,0.0,1,False,False,master_name_position,,crosswalk_fields_disagree,Info,crosswalk_fields_disagree
2024,1,MeltBo00,Bo Melton,WR,GB,00-0037091,0.0,1,False,False,weekly_stats_name_position_team,,crosswalk_fields_disagree,Info,crosswalk_fields_disagree
2024,1,FranTr00,Troy Franklin,WR,DEN,00-0039868,0.0,0,True,False,weekly_roster_name_position_team,,no_actual_weekly_record;actual_score_created_from_missing_record,Info,
2024,1,WallTy00,Tylan Wallace,WR,CLE,00-0036630,0.0,0,True,False,master_name_position,,no_actual_weekly_record;actual_score_created_from_missing_record,Info,
2024,1,JoneCh00,Charlie Jones,WR,NYG,,,0,False,False,unmatched,,no_unique_gsis_id;no_actual_weekly_record;actual_score_created_from_missing_record,Info,
2024,1,GoodTy00,Tyler Goodson,RB,ATL,00-0037120,0.0,0,True,False,master_name_position,,no_actual_weekly_record;actual_score_created_from_missing_record,Info,
2024,1,HaskHa00,Hassan Haskins,RB,NE,00-0037617,0.0,0,True,False,master_name_position,,crosswalk_fields_disagree;no_actual_weekly_record;actual_score_created_from_missing_record,Info,crosswalk_fields_disagree
2024,1,AlixRa00,Rasheen Ali,RB,BAL,00-0039796,0.0,0,True,False,weekly_roster_name_position_team,,no_actual_weekly_record;actual_score_created_from_missing_record,Info,
2024,1,AbanIs00,Israel Abanikanda,RB,DAL,00-0038389,0.0,0,True,False,master_name_position,,no_actual_weekly_record;actual_score_created_from_missing_record,Info,
2024,1,DallDe00,DeeJay Dallas,RB,MIN,00-0036425,6.0,1,False,False,master_name_position,,crosswalk_fields_disagree;master_team_context_differs,Info,crosswalk_fields_disagree;master_team_context_differs
2024,1,BurtMi00,Michael Burton,RB,CLE,00-0031595,0.0,0,True,False,pfr_crosswalk_verified,,no_actual_weekly_record;actual_score_created_from_missing_record,Info,gsis_id_not_in_master
2024,1,GillRe00,Reggie Gilliam,RB,NE,00-0036187,0.0,0,True,False,master_name_position,,crosswalk_fields_disagree;no_actual_weekly_record;actual_score_created_from_missing_record,Info,crosswalk_fields_disagree
2024,1,MuseNi00,Nick Muse,TE,ATL,00-0037317,0.0,0,True,False,master_name_position,,crosswalk_fields_disagree;no_actual_weekly_record;actual_score_created_from_missing_record,Info,crosswalk_fields_disagree
2024,1,BarnAJ00,AJ Barner,TE,SEA,00-0039793,0.0,0,True,False,weekly_roster_name_position_team,,no_actual_weekly_record;actual_score_created_from_missing_record,Info,
2024,1,SpanBr00,Brevyn Spann-Ford,TE,DAL,00-0039530,0.0,0,True,False,weekly_roster_name_position_team,,no_actual_weekly_record;actual_score_created_from_missing_record,Info,
2024,1,StraBr00,Brenton Strange,TE,JAX,00-0038935,0.0,0,True,False,weekly_roster_name_position_team,,no_actual_weekly_record;actual_score_created_from_missing_record,Info,
2024,1,TongJa00,Jake Tonges,TE,SF,00-0037112,0.0,0,True,False,weekly_roster_name_position_team,,no_actual_weekly_record;actual_score_created_from_missing_record,Info,
2024,1,ManhCh00,Chris Manhertz,TE,NYG,00-0031484,0.0,0,True,False,weekly_roster_name_position_team,,no_actual_weekly_record;actual_score_created_from_missing_record,Info,
